央视,#genre#
CCTV1,http://39.134.242.92:80/180000001002/00000001000000000007000000001243/index.m3u8
CCTV2,http://39.134.13.35:6610/180000001001/00000001000000001001000000000050/index.m3u8?
CCTV3,http://39.134.242.92:80/180000001002/00000001000000000008000000047432/index.m3u8
CCTV4,http://39.134.240.3/PLTV/2/224/3221225829/index.m3u8
CCTV5,http://39.134.240.3/PLTV/2/224/3221225827/index.m3u8
CCTV5+,http://39.134.13.35:6610/180000001001/00000001000000000008000000047442/index.m3u8?
CCTV6,http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8
CCTV7,http://39.134.240.3/PLTV/2/224/3221225823/index.m3u8
CCTV8,http://39.134.13.35:6610/180000001001/00000001000000001001000000000056/index.m3u8?
CCTV9,http://39.134.13.35:6610/180000001001/00000001000000001001000000000057/index.m3u8?
CCTV10,http://39.134.13.35:6610/180000001001/00000001000000001001000000000058/index.m3u8?
CCTV11,http://39.134.13.35:6610/180000001001/00000001000000001019000000352943/index.m3u8?
CCTV12,http://39.134.240.3/PLTV/2/224/3221225815/index.m3u8
CCTV13,http://39.134.242.92:80/180000001002/00000001000000000050000000133801/index.m3u8
CCTV14,http://39.134.13.35:6610/180000001001/00000001000000001001000000000059/index.m3u8?
CCTV15,http://39.134.242.92:80/180000001002/00000001000000000026000000446967/index.m3u8
CCTV16,http://39.134.13.35:6610/180000001001/00000001000000000085000000178450/main.m3u8?
CCTV17,http://39.134.242.92:80/180000001002/00000001000000000025000000024152/index.m3u8
CHC家庭影院,http://39.134.242.92:80/180000001002/00000001000000000050000000448840/main.m3u8
CHC影迷电影,http://39.134.242.92:80/180000001002/00000001000000000050000000448841/main.m3u8
CHC动作电影,http://39.134.242.92:80/180000001002/00000001000000000050000000448842/main.m3u8
CCTV-兵器科技,http://39.134.242.92:80/180000001002/00000001000000000091000000244796/main.m3u8
CCTV-电视指南,http://39.134.242.92:80/180000001002/00000001000000000091000000244797/main.m3u8
CCTV-风云足球,http://39.134.242.92:80/180000001002/00000001000000000091000000244800/main.m3u8
CCTV-央视台球,http://39.134.242.92:80/180000001002/00000001000000000091000000244803/main.m3u8
CCTV-世界地理,http://39.134.242.92:80/180000001002/00000001000000000091000000244805/main.m3u8
CCTV-怀旧剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244806/main.m3u8
CCTV-风云剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244807/main.m3u8
CCTV-第一剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244808/main.m3u8
CCTV-风云音乐,http://39.134.242.92:80/180000001002/00000001000000000091000000244809/main.m3u8
CCTV-女性时尚,http://39.134.242.92:80/180000001002/00000001000000000091000000244811/main.m3u8
CCTV-高尔夫网球,http://39.134.242.92:80/180000001002/00000001000000000091000000244801/main.m3u8
CCTV-央视文化精品,http://39.134.242.92:80/180000001002/00000001000000000091000000244810/main.m3u8
中国教育,http://39.134.13.35:6610/180000001001/00000001000000000016000000007220/index.m3u8?
CGTN新闻,http://39.134.240.3/PLTV/2/224/3221225950/index.m3u8
CGTN纪录,http://39.134.240.3/PLTV/2/224/3221225936/index.m3u8
卫视,#genre#
湖南卫视,http://39.134.13.35:6610/180000001001/00000001000000000007000000001242/index.m3u8?
东方卫视,http://39.134.13.35:6610/180000001001/00000001000000001001000000000064/index.m3u8?
江苏卫视,http://39.134.13.73:6610/180000001001/00000001000000000007000000001244/index.m3u8?
安徽卫视,http://39.134.13.73:6610/180000001001/00000001000000000016000000007224/index.m3u8?
北京卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047443/main.m3u8
吉林卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208223/main.m3u8
河南卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208264/main.m3u8
广西卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215605/main.m3u8
海南卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208265/main.m3u8
云南卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215606/main.m3u8
陕西卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215607/main.m3u8
甘肃卫视,http://39.134.242.92:80/180000001002/00000001000000000050000000133802/main.m3u8
青海卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215609/main.m3u8
东南卫视,http://39.134.13.35:6610/180000001001/00000001000000000010000000040459/index.m3u8?
广东卫视,http://39.134.13.35:6610/180000001001/00000001000000000010000000040391/index.m3u8?
贵州卫视,http://39.134.13.35:6610/180000001001/00000001000000000010000000040424/index.m3u8?
河北卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007223/index.m3u8
黑龙江卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047449/index.m3u8?
江西卫视,http://39.134.240.3/PLTV/2/224/3221225972/index.m3u8
湖北卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047447/index.m3u8
辽宁卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007225/index.m3u8
山东卫视,http://39.134.13.35:6610/180000001001/00000001000000001001000000000067/index.m3u8?
深圳卫视,http://39.134.13.35:6610/180000001001/00000001000000001001000000000065/index.m3u8?
四川卫视,http://39.134.13.35:6610/180000001001/00000001000000000064000000308823/index.m3u8?
天津卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047444/index.m3u8?
浙江卫视,http://39.134.13.73:6610/180000001001/00000001000000000007000000001250/index.m3u8?
重庆卫视,http://39.134.13.35:6610/180000001001/00000001000000000064000000308825/index.m3u8?
湖南,#genre#
湖南娱乐,http://39.134.13.35:6610/180000001001/00000001000000000007000000001248/index.m3u8?
湖南电视剧,http://39.134.13.35:6610/180000001001/00000001000000001001000000000037/index.m3u8?
湖南电影,http://39.134.240.3/PLTV/2/224/3221226140/index.m3u8
湖南经视,http://39.134.240.3/PLTV/2/224/3221226036/index.m3u8
湖南教育,http://39.134.242.92:80/180000001002/00000001000000000023000000196697/index.m3u8
湖南都市,http://39.134.13.37:6610/180000001001/00000001000000000007000000001249/index.m3u8?
湖南爱晚,http://39.134.240.3/PLTV/2/224/3221226192/index.m3u8
湖南国际,http://39.134.13.35:6610/180000001001/00000001000000001001000000000045/index.m3u8?
金鹰纪实,http://39.134.13.35:6610/180000001001/00000001000000000016000000007228/index.m3u8?
金鹰卡通,http://39.134.13.35:6610/180000001001/00000001000000000007000000001247/index.m3u8?
快乐垂钓,http://39.134.240.3/PLTV/2/224/3221226348/index.m3u8
茶频道,http://39.134.13.35:6610/180000001001/00000001000000000025000000316196/index.m3u8?
卡酷动画,http://39.134.242.92:80/180000001002/00000001000000000090000000215608/main.m3u8
